Petro-Canada Petro-Pass Price (Canadian $/Litre)                Page:   1      ,,,,,,,  
            (As of: 2026-04-02)                    Created on: 2026-04-02      ,,,,,,,  
Account: 7089248298 - OBYR TRANSPORT INC.                                      ,,,,,,,  
Product: D1         - DIESEL - ULS                                             ,,,,,,,  
Region : "ALL"  Provinces: "ALL"                                               ,,,,,,,  
                          ,   ,PRICE* ,      , CBN+ ,BASE   ,         ,       ,  
                          ,   ,EXCL.  , FCT+ , PFT+ ,PRICE  ,         ,       ,  
                          ,   ,GST/HST,  FET , UTT  ,EXCL.  ,         ,       ,  
SITE NAME                 ,Prv,PST $/L,  $/L , $/L  ,TAX $/L,         ,       ,  
--------------------------,---,-------,------,------,-------,         ,       ,  
WOODSTOCK                 , ON, 1.7933,0.0400,0.0900, 1.6633,         ,       ,  
  
ALTONA       MB           ,   , 1.6640,0.0400,0.1250, 1.4990,         ,       ,  
ARBORG                    , MB, 1.6580,0.0400,0.1250, 1.4930,         ,       ,  
BRANDON-18TH ST           , MB, 1.6612,0.0400,0.1250, 1.4962,         ,       ,  
BRANDON-TCH               , MB, 1.6612,0.0400,0.1250, 1.4962,         ,       ,  
BVD - WINNIPEG WEST       , MB, 1.6783,0.0400,0.1250, 1.5133,         ,       ,  
CRYSTAL CITY (65885)      , MB, 1.6719,0.0400,0.1250, 1.5069,         ,       ,  
DAUPHIN                   , MB, 1.6641,0.0400,0.1250, 1.4991,         ,       ,  
KILLARNEY                 , MB, 1.6719,0.0400,0.1250, 1.5069,         ,       ,  
MELITA                    , MB, 1.6744,0.0400,0.1250, 1.5094,         ,       ,  
MIAMI                     , MB, 1.6719,0.0400,0.1250, 1.5069,         ,       ,  
MORRIS                    , MB, 1.6590,0.0400,0.1250, 1.4940,         ,       ,  
NEEPAWA                   , MB, 1.6662,0.0400,0.1250, 1.5012,         ,       ,  
PINE FALLS                , MB, 1.6580,0.0400,0.1250, 1.4930,         ,       ,  
PORTAGE LA PRAIRIE        , MB, 1.6582,0.0400,0.1250, 1.4932,         ,       ,  
RESTON                    , MB, 1.6744,0.0400,0.1250, 1.5094,         ,       ,  
RUSSELL                   , MB, 1.6524,0.0400,0.1250, 1.4874,         ,       ,  
STEINBACH   MB            ,   , 1.6620,0.0400,0.1250, 1.4970,         ,       ,  
TEULON                    , MB, 1.6550,0.0400,0.1250, 1.4900,         ,       ,  
THE PAS                   , MB, 1.6560,0.0400,0.1250, 1.4910,         ,       ,  
THOMPSON                  , MB, 1.6725,0.0400,0.1250, 1.5075,         ,       ,  
VIRDEN                    , MB, 1.6744,0.0400,0.1250, 1.5094,         ,       ,  
WINKLER                   , MB, 1.6626,0.0400,0.1250, 1.4976,         ,       ,  
WINNIPEG-DEACONS          , MB, 1.6546,0.0400,0.1250, 1.4896,         ,       ,  
WINNIPEG-MARION ST        , MB, 1.6429,0.0400,0.1250, 1.4779,         ,       ,  
  
ALIDA                     , SK, 1.6826,0.0400,0.1500, 1.4926,         ,       ,  
ASSINIBOIA                , SK, 1.6622,0.0400,0.1500, 1.4722,         ,       ,  
BIGGAR                    , SK, 1.6784,0.0400,0.1500, 1.4884,         ,       ,  
BVD - GRENFELL WEST       , SK, 1.6679,0.0400,0.1500, 1.4779,         ,       ,  
CARLYLE                   , SK, 1.6787,0.0400,0.1500, 1.4887,         ,       ,  
CARNDUFF                  , SK, 1.6787,0.0400,0.1500, 1.4887,         ,       ,  
CARROT RIVER              , SK, 1.6935,0.0400,0.1500, 1.5035,         ,       ,  
CHAPLIN                   , SK, 1.6570,0.0400,0.1500, 1.4670,         ,       ,  
CORMAN PARK               , SK, 1.6687,0.0400,0.1500, 1.4787,         ,       ,  
EDAM                      , SK, 1.6877,0.0400,0.1500, 1.4977,         ,       ,  
ESTEVAN - 4TH ST          , SK, 1.6752,0.0400,0.1500, 1.4852,         ,       ,  
ESTEVAN - CARBON          , SK, 1.6752,0.0400,0.1500, 1.4852,         ,       ,  
GRAVELBOURG               , SK, 1.6708,0.0400,0.1500, 1.4808,         ,       ,  
GRENFELL                  , SK, 1.6610,0.0400,0.1500, 1.4710,         ,       ,  
HUMBOLDT                  , SK, 1.6854,0.0400,0.1500, 1.4954,         ,       ,  
KINDERSLEY                , SK, 1.6895,0.0400,0.1500, 1.4995,         ,       ,  
KIPLING                   , SK, 1.6746,0.0400,0.1500, 1.4846,         ,       ,  
LAMPMAN                   , SK, 1.6688,0.0400,0.1500, 1.4788,         ,       ,  
LARONGE                   , SK, 1.7127,0.0400,0.1500, 1.5227,         ,       ,  
MAIDSTONE                 , SK, 1.6702,0.0400,0.1500, 1.4802,         ,       ,  
MANKOTA                   , SK, 1.6766,0.0400,0.1500, 1.4866,         ,       ,  
MAPLE CREEK               , SK, 1.6782,0.0400,0.1500, 1.4882,         ,       ,  
MEADOW LAKE               , SK, 1.7011,0.0400,0.1500, 1.5111,         ,       ,  
MELFORT                   , SK, 1.7026,0.0400,0.1500, 1.5126,         ,       ,  
MOOSE JAW                 , SK, 1.6570,0.0400,0.1500, 1.4670,         ,       ,  
NORTH BATTLEFORD BYPASS   , SK, 1.6837,0.0400,0.1500, 1.4937,         ,       ,  
NORTH BATTLEFORD          , SK, 1.6837,0.0400,0.1500, 1.4937,         ,       ,  
OXBOW                     , SK, 1.6766,0.0400,0.1500, 1.4866,         ,       ,  
PRINCE ALBERT             , SK, 1.6846,0.0400,0.1500, 1.4946,         ,       ,  
RADVILLE                  , SK, 1.6735,0.0400,0.1500, 1.4835,         ,       ,  
REDVERS                   , SK, 1.6833,0.0400,0.1500, 1.4933,         ,       ,  
REGINA                    , SK, 1.6540,0.0400,0.1500, 1.4640,         ,       ,  
ROSETOWN                  , SK, 1.6816,0.0400,0.1500, 1.4916,         ,       ,  
SASKATOON-51ST ST         , SK, 1.6674,0.0400,0.1500, 1.4774,         ,       ,  
SASKATOON-MELVILLE        , SK, 1.6675,0.0400,0.1500, 1.4775,         ,       ,  
SHAUNAVON                 , SK, 1.6775,0.0400,0.1500, 1.4875,         ,       ,  
STOUGHTON                 , SK, 1.6753,0.0400,0.1500, 1.4853,         ,       ,  
SWIFT CURRENT             , SK, 1.6671,0.0400,0.1500, 1.4771,         ,       ,  
TISDALE                   , SK, 1.6928,0.0400,0.1500, 1.5028,         ,       ,  
UNITY                     , SK, 1.6870,0.0400,0.1500, 1.4970,         ,       ,  
WADENA                    , SK, 1.6732,0.0400,0.1500, 1.4832,         ,       ,  
WEYBURN                   , SK, 1.6556,0.0400,0.1500, 1.4656,         ,       ,  
YORKTON-HWY 16            , SK, 1.6687,0.0400,0.1500, 1.4787,         ,       ,  
  
ALDERSYDE                 , AB, 1.6568,0.0400,0.1300, 1.4868,         ,       ,  
ALDERSYDE                 , AB, 1.6568,0.0400,0.1300, 1.4868,         ,       ,  
ATHABASCA                 , AB, 1.6424,0.0400,0.1300, 1.4724,         ,       ,  
BASSANO                   , AB, 1.6617,0.0400,0.1300, 1.4917,         ,       ,  
BONNYVILLE                , AB, 1.6472,0.0400,0.1300, 1.4772,         ,       ,  
BROOKS-AGCOM              , AB, 1.6656,0.0400,0.1300, 1.4956,         ,       ,  
BVD - CALGARY WEST        , AB, 1.6972,0.0400,0.1300, 1.5272,         ,       ,  
CALGARY-COUNTRY HILLS     , AB, 1.6561,0.0400,0.1300, 1.4861,         ,       ,  
CALGARY-MONUMENT          , AB, 1.6459,0.0400,0.1300, 1.4759,         ,       ,  
CALGARY-OGDEN RD          , AB, 1.6453,0.0400,0.1300, 1.4753,         ,       ,  
CALGARY-REMINGTON         , AB, 1.6476,0.0400,0.1300, 1.4776,         ,       ,  
CALGARY ROAD KING  AB     ,   , 1.6455,0.0400,0.1300, 1.4755,         ,       ,  
CAMROSE                   , AB, 1.6296,0.0400,0.1300, 1.4596,         ,       ,  
CARDSTON                  , AB, 1.6683,0.0400,0.1300, 1.4983,         ,       ,  
CARSTAIRS                 , AB, 1.6439,0.0400,0.1300, 1.4739,         ,       ,  
CLAIRMONT                 , AB, 1.6688,0.0400,0.1300, 1.4988,         ,       ,  
CNRL HORIZON PROJECT      , AB, 1.7150,0.0400,0.1300, 1.5450,         ,       ,  
COCHRANE-JUMPING POUND    , AB, 1.6582,0.0400,0.1300, 1.4882,         ,       ,  
COLD LAKE                 , AB, 1.6685,0.0400,0.1300, 1.4985,         ,       ,  
CORONATION                , AB, 1.6419,0.0400,0.1300, 1.4719,         ,       ,  
CROSSFIELD                , AB, 1.6442,0.0400,0.1300, 1.4742,         ,       ,  
DRAYTON VALLEY-50TH ST    , AB, 1.6380,0.0400,0.1300, 1.4680,         ,       ,  
DRAYTON VALLEY-INDUSTRIAL , AB, 1.6388,0.0400,0.1300, 1.4688,         ,       ,  
DRUMHELLER                , AB, 1.6471,0.0400,0.1300, 1.4771,         ,       ,  
EDMONTON-118 AVE          , AB, 1.6267,0.0400,0.1300, 1.4567,         ,       ,  
EDMONTON-50TH ST          , AB, 1.6251,0.0400,0.1300, 1.4551,         ,       ,  
EDMONTON-ACHESON          , AB, 1.6297,0.0400,0.1300, 1.4597,         ,       ,  
EDMONTON-WEST (HUNTERS CNR, AB, 1.6274,0.0400,0.1300, 1.4574,         ,       ,  
EDMONTON-YELLOWHEAD       , AB, 1.6218,0.0400,0.1300, 1.4518,         ,       ,  
EDSON - 63 ST             , AB, 1.6434,0.0400,0.1300, 1.4734,         ,       ,  
FALHER                    , AB, 1.6691,0.0400,0.1300, 1.4991,         ,       ,  
FORT MCMURRAY-NORTH       , AB, 1.6804,0.0400,0.1300, 1.5104,         ,       ,  
FORT MCMURRAY PPASS 66    , AB, 1.6626,0.0400,0.1300, 1.4926,         ,       ,  
FORT MCMURRAY-SOUTH       , AB, 1.6804,0.0400,0.1300, 1.5104,         ,       ,  
FOX CREEK                 , AB, 1.6525,0.0400,0.1300, 1.4825,         ,       ,  
FT SASKATCHEWAN           , AB, 1.6271,0.0400,0.1300, 1.4571,         ,       ,  
GLENEVIS                  , AB, 1.6283,0.0400,0.1300, 1.4583,         ,       ,  
GRANDE PRAIRIE-116 ST     , AB, 1.6727,0.0400,0.1300, 1.5027,         ,       ,  
GRANDE PRAIRIE-97TH       , AB, 1.6688,0.0400,0.1300, 1.4988,         ,       ,  
GRASSLAND                 , AB, 1.6547,0.0400,0.1300, 1.4847,         ,       ,  
HANNA                     , AB, 1.6576,0.0400,0.1300, 1.4876,         ,       ,  
HARDISTY                  , AB, 1.6374,0.0400,0.1300, 1.4674,         ,       ,  
HIGH LEVEL                , AB, 1.6741,0.0400,0.1300, 1.5041,         ,       ,  
HIGH PRAIRIE              , AB, 1.6618,0.0400,0.1300, 1.4918,         ,       ,  
HINTON                    , AB, 1.6541,0.0400,0.1300, 1.4841,         ,       ,  
HUSSAR                    , AB, 1.6633,0.0400,0.1300, 1.4933,         ,       ,  
LAC LA BICHE              , AB, 1.6474,0.0400,0.1300, 1.4774,         ,       ,  
LA CRETE                  , AB, 1.6924,0.0400,0.1300, 1.5224,         ,       ,  
LETHBRIDGE                , AB, 1.6680,0.0400,0.1300, 1.4980,         ,       ,  
LLOYDMINSTER 63           , AB, 1.6457,0.0400,0.1300, 1.4757,         ,       ,  
LLOYDMINSTER              , AB, 1.6457,0.0400,0.1300, 1.4757,         ,       ,  
MANNING                   , AB, 1.6846,0.0400,0.1300, 1.5146,         ,       ,  
MCL ARCHIEWAY             , AB, 1.8282,0.0400,0.1300, 1.6582,         ,       ,  
MCL BALZAC YAR            , AB, 1.6711,0.0400,0.1300, 1.5011,         ,       ,  
MCL CNRL PIKE CAMP AB     ,   , 1.7300,0.0400,0.1300, 1.5600,         ,       ,  
MCL DEERFOOT UPGRADES     , AB, 1.6719,0.0400,0.1300, 1.5019,         ,       ,  
MCL DP2Z- BLOCK 80 DEPOT A,   , 1.6663,0.0400,0.1300, 1.4963,         ,       ,  
MCL HAMMERSTONE_92704     , AB, 1.6854,0.0400,0.1300, 1.5154,         ,       ,  
MCL HAMMERSTONE CON_92701 , AB, 1.6710,0.0400,0.1300, 1.5010,         ,       ,  
MCL HANGINGSTONE          , AB, 1.6670,0.0400,0.1300, 1.4970,         ,       ,  
MCL HUSKY RD              , AB, 1.8588,0.0400,0.1300, 1.6888,         ,       ,  
MCL JACKFISH              , AB, 1.7067,0.0400,0.1300, 1.5367,         ,       ,  
MCL JACKFISH TA    AB     ,   , 1.7336,0.0400,0.1300, 1.5636,         ,       ,  
MCL KLEYSEN               , AB, 1.6315,0.0400,0.1300, 1.4615,         ,       ,  
MCL LEISMER               , AB, 1.7152,0.0400,0.1300, 1.5452,         ,       ,  
MCL LONG LAKE             , AB, 1.7190,0.0400,0.1300, 1.5490,         ,       ,  
MCL PELICAN LAKE          , AB, 1.7046,0.0400,0.1300, 1.5346,         ,       ,  
MCL PRIMROSE THERMAL      , AB, 1.7398,0.0400,0.1300, 1.5698,         ,       ,  
MCL RUTH LAKE             , AB, 1.6924,0.0400,0.1300, 1.5224,         ,       ,  
MCL WHISKEY JACK   AB     ,   , 1.6940,0.0400,0.1300, 1.5240,         ,       ,  
MEDICINE HAT-10TH AVE     , AB, 1.6728,0.0400,0.1300, 1.5028,         ,       ,  
MEDICINE HAT-BOX SPRINGS  , AB, 1.6776,0.0400,0.1300, 1.5076,         ,       ,  
NISKU                     , AB, 1.6283,0.0400,0.1300, 1.4583,         ,       ,  
